Dante Alighieri	articulate:44,expressive:44,expressive:25,expressive:46
Darth Maul	inhuman:48,coached:43,inhuman:46
Darth Vader	bloodless:36
Davy Crockett	adventurous:48,adventurous:46
David Beckham	printed:28,revered:48,accomplished:31,celebrated:48,revered:42,loving:47,revered:47,revered:46,revered:45,acclaimed:33,loving:39,injured:38,winning:39,accomplished:40,magnificent:41,supportive:36
David Blaine	accomplished:43,artistic:36,entertaining:40,accomplished:47,accomplished:33
David Bowie	honored:35,celebrated:42,celebrated:44,celebrated:45,celebrated:46,celebrated:47,celebrated:48,commanding:38,loving:46,loving:47,singing:48,versatile:40,singing:42,singing:43,shining:47,singing:39
David Byrne	artistic:42,artistic:43,artistic:47,revered:38,artistic:48,singing:37,revered:47,leading:37,outsourcing:36,singing:39
David Caruso	celebrated:48,hardened:42,celebrated:44,acclaimed:33,celebrated:46
David Hasselhoff	celebrated:48,gifted:43,celebrated:44,photogenic:44,celebrated:46
David Lee Roth	artistic:43,artistic:40,artistic:47,artistic:44,artistic:48,beloved:47,inspired:42,leading:39,celebrated:38,inspired:44,categorizing:35,overbearing:43,accountable:25,artistic:36,celebrated:44,celebrated:45,celebrated:48,trusted:41,trained:36,producing:36,commanding:41,singing:39,organizing:35,commanding:28,credited:35
David Letterman	leasing:31,loving:46,merry:43,trusted:42,systematizing:33,beloved:47,vanquished:43,beloved:48
David Lynch	artistic:36,artistic:40,artistic:45,producing:36,manufacturing:31,creative:41,directing:28
David Mamet	penning:44,artistic:40,inspired:36,penning:35,penning:36,successful:45
Dean Martin	singing:44,singing:40,singing:43,artistic:45,trustful:41,artistic:48,singing:33
Deepak Chopra	speaking:31,learned:46,learned:45,learned:44,revered:40,revered:47,revered:46,revered:45,counseling:45,contemplative:44,contemplative:28
Dexter Morgan	artistic:43,artistic:40,honored:35,dashing:41,speaking:31,dashing:44,experienced:45,dashing:46,dashing:47,plucky:36,playing:36,leasing:31,educated:47,respected:38,accountable:25,educated:42,careful:25,trusted:33,helpful:40,qualified:41,inspired:44,advising:43,strong:37,developed:38,accomplished:31,charismatic:43,developed:37,rambling:47,flying:36,tortured:46,lined:33,husky:28,artistic:36,scheming:46,celebrated:45,inspired:39,trusted:47,penning:35,trusted:44,respected:45,feared:41,trusted:41,viewing:33,dashing:38,accomplished:40,leading:40,leading:41,admired:44,educated:36,sophisticated:45,accomplished:42,sophisticated:43,accomplished:47,accomplished:46,accomplished:45,superstitious:28,accomplished:48,elected:35,advising:38,supportive:40,struggling:39,pioneering:42,playing:33,tasteful:31
Dian Fossey	educated:44,educated:36
Dick Cheney	qualified:40,friendly:39,systematizing:33,elected:45,marauding:48,friendly:47,elected:41,spunky:25,presidential:25,leading:41,recruiting:41,trusted:33,political:46,trusted:37,political:43
Dolly Parton	spoiled:46,singing:39,celebrated:45,celebrated:46,celebrated:47,celebrated:48,beloved:47,singing:43,singing:40
Don Vito Corleone	overbearing:42,settling:37,commanding:41,trustworthy:47
Don King	performing:43,encouraging:33
Donald Duck	restored:45,lined:33
Donald Trump	wealthy:41,scheming:43,trusted:47,overbearing:41,trusted:42,successful:37,developing:31,irrepressible:37,leasing:31,challenging:41,successful:48,successful:45,commercial:43,successful:43,pampered:39
Dorian Gray	baptized:42,eternal:40
Doris Day	artistic:43,artistic:48,vocal:44,lonely:45,artistic:45
Dorothy Parker	published:44,incisive:37,learned:47,learned:46,learned:44
Dr. John Watson	artistic:43,leading:40,artistic:36,revered:41,respected:28,dashing:44,dashing:45,dashing:46,campaigning:41,educated:44,playing:36,leasing:31,educated:47,respected:38,convincing:41,qualified:40,playing:39,inspired:44,advising:43,educated:36,acclaimed:33,crusading:42,coached:31,political:25,rigorous:28,probing:42,distinguished:40,respected:48,trained:39,dignified:43,unearthing:38,tailored:31,trusted:47,trusted:43,trusted:45,respected:42,respected:45,trusted:42,respected:47,respected:46,humming:35,trusted:41,crusading:44,admired:48,leading:41,armed:42,primitive:28,excited:38,helping:40,dutiful:40,spunky:25,playing:44,visual:28,accredited:37,planned:41,probing:35,elected:35,listening:31,devoted:43,driving:31,educated:39
Professor James Moriarty	feared:48,jobbing:44,feared:42
Eddie Murphy	smiling:42,celebrated:44,celebrated:45,celebrated:46,celebrated:48,merry:43,merry:42,imprisoned:39,visual:28
Eddie Van Halen	commanding:38,restored:45,twisted:46
Eddy Merckx	successful:45,successful:47,riding:28,riding:31
Edith Piaf	entertaining:43,entertaining:42
Edward Hopper	artistic:42,unromantic:36,withering:47,artistic:47
Elizabeth Taylor	sophisticated:40,artistic:40,celebrated:45,printed:28,loved:48,exquisite:25,loved:47,loved:45
Elmer Fudd	armed:44
Elmore Leonard	writing:44,artistic:40,artistic:44,artistic:45
Elvis Presley	artistic:43,dumb:48,celebrated:42,cherished:47,celebrated:45,celebrated:46,celebrated:47,celebrated:48,commanding:38,cherished:49,respected:42,spoiled:49,questioning:33,artistic:42,artistic:36,contented:49,celebrated:44,lined:33,singing:40
Emily Dickinson	romantic:46
Eminem	golden:31,celebrated:45,celebrated:47,deranged:47,deranged:46,lyrical:33,flamboyant:45
Emperor Constantine	revered:48,celebrated:44,revered:41,unbaptized:40,awesome:43,contemplative:44,deceptive:33,astute:44
Ming The Merciless	
Emperor Palpatine	strict:47
Erasmus	serious:46,ethical:31
Eric Clapton	singing:46,artistic:47,singing:43,artistic:45,loving:45,artistic:48,loving:47,loving:39,singing:39,singing:42,commanding:38,visiting:35,celebrated:45
Ernest Hemingway	artistic:40,cherished:47,celebrated:45,lofty:47,celebrated:48,inspired:44
Errol Flynn	celebrated:48,dashing:40,celebrated:42,celebrated:44,celebrated:45
Euclid	
Evel Knievel	motoring:35,fearless:38
Federico Fellini	artistic:36,artistic:40,expert:44,crafting:31,inspired:44
Fidel Castro	trusted:44,trusted:47,unelected:40,trusted:45,exiled:45,trusted:38,trusted:41,imprisoned:39,reigning:48,educated:40,admired:48,reigning:42,reigning:41,reigning:46,reigning:47,reigning:45
Flash Gordon	celebrated:48,celebrated:45,commanding:42,qualified:36
Florence Nightingale	inspiring:42,inspiring:46
Forrest Gump	pliable:28,gripping:43,gripping:45
Francis Bacon	disciplined:47,accomplished:47,writing:33,accomplished:45,accomplished:42,accomplished:48,beloved:47,enlightened:46
Francis Crick	probing:39,respected:45,probing:35,respected:28,agreeable:37,probing:47
Frank Capra	artistic:36,artistic:40,enduring:40,producing:36,artistic:45
Frank Columbo	tuneful:43,tuneful:33
Frank Gehry	accurate:42
Frank Lloyd Wright	artistic:43,artistic:40,marching:37,artistic:36,committed:48,dashing:44,dashing:45,beginning:25,campaigning:41,leading:33,playing:36,playing:35,educated:40,defending:31,shining:45,inspired:41,inspired:40,informed:45,informed:44,inspired:44,trained:39,receptive:31,commanding:37,scholarly:31,uniformed:42,leasing:31,inspired:39,promising:39,promising:38,inspired:46,entertaining:43,trusted:42,penning:35,unbiased:36,distinguished:44,defending:38,accomplished:39,respected:48,respected:42,seasoned:36,supportive:33,accomplished:42,visiting:40,trusted:43,trusted:45,trusted:44,respected:45,respected:44,respected:47,respected:46,accountable:25,humming:35,trusted:41,supervising:43,leading:40,producing:36,admired:47,educated:36,inspired:36,primitive:28,helpful:40,commanding:45,published:42,accomplished:40,accomplished:47,commanding:41,commanding:42,visual:28,teaching:39,accomplished:48,planning:31,elected:35,respected:38,accomplished:31,playing:33,commanding:38,commanding:40,trusted:36
Frank Sinatra	celebrated:42,celebrated:44,celebrated:45,singing:43,celebrated:47,celebrated:48,singing:37,singing:33,visual:28,primitive:28,visiting:35,loved:47,singing:40
Frank Zappa	artistic:42,artistic:43,artistic:47,singing:42,commanding:38,artistic:48,pioneering:37,fixed:48,beloved:47,admired:48,outsourcing:36,admired:47,admired:44,singing:39
Franz Liszt	inspired:43,inspired:42,performing:35,trustworthy:47
Fred Astaire	artistic:43,celebrated:44,artistic:45,artistic:48,entertaining:40,artistic:46
Fredo Corleone	settling:37,close:47,commanding:28,ruling:42,commanding:47,commanding:41
Garry Kasparov	seasoned:48,seasoned:42,winning:39,seasoned:47,seasoned:40
Garry Trudeau	inspired:41,acerbic:38,inspired:44
Garth Brooks	artistic:43,artistic:47,celebrated:46,artistic:45,artistic:48,singing:33,loved:47,singing:39
Gary Larson	revered:41
